Station_ID,State,Latitude,Longitude,Timestamp,Water_Level_MBGL,Temperature_C,Battery_Voltage,Signal_Strength,Data_Quality
DWLR_Station_1001,Maharashtra,13.887601,76.227078,2024-01-01 00:00:00,24.329,29.0,12.13,-65,Good
DWLR_Station_1001,Maharashtra,29.517042,78.326007,2024-01-01 06:00:00,24.352,21.5,13.71,-62,Poor
DWLR_Station_1001,Maharashtra,10.507015,87.252968,2024-01-01 12:00:00,24.289,31.7,13.47,-80,Fair
DWLR_Station_1001,Maharashtra,13.465886,71.128741,2024-01-01 18:00:00,24.253,20.0,13.12,-56,Good
DWLR_Station_1001,Maharashtra,29.097306,82.757938,2024-01-02 00:00:00,24.282,26.1,13.27,-78,Good
DWLR_Station_1001,Maharashtra,14.95462,75.119454,2024-01-02 06:00:00,24.375,30.2,11.83,-67,Good
DWLR_Station_1001,Maharashtra,16.926086,77.293476,2024-01-02 12:00:00,24.321,28.0,11.92,-76,Poor
DWLR_Station_1001,Maharashtra,27.733608,73.217872,2024-01-02 18:00:00,24.269,15.3,14.04,-49,Good
DWLR_Station_1001,Maharashtra,13.258689,69.411375,2024-01-03 00:00:00,24.317,27.8,11.86,-49,Poor
DWLR_Station_1001,Maharashtra,28.804605,79.509484,2024-01-03 06:00:00,24.377,22.8,13.34,-48,Poor
DWLR_Station_1001,Maharashtra,22.518793,84.408537,2024-01-03 12:00:00,24.318,28.0,12.3,-52,Poor
DWLR_Station_1001,Maharashtra,11.387226,70.01556,2024-01-03 18:00:00,24.268,15.4,12.03,-46,Good
DWLR_Station_1001,Maharashtra,17.707932,81.632273,2024-01-04 00:00:00,24.335,21.8,12.43,-74,Poor
DWLR_Station_1001,Maharashtra,12.363297,81.934743,2024-01-04 06:00:00,24.334,27.6,13.91,-45,Fair
DWLR_Station_1001,Maharashtra,20.959438,76.469419,2024-01-04 12:00:00,24.319,26.4,13.18,-46,Good
DWLR_Station_1001,Maharashtra,18.252354,75.440362,2024-01-04 18:00:00,24.259,30.5,12.62,-49,Good
DWLR_Station_1001,Maharashtra,25.017421,83.090857,2024-01-05 00:00:00,24.308,17.1,13.97,-61,Good
DWLR_Station_1001,Maharashtra,26.529149,74.400992,2024-01-05 06:00:00,24.384,32.9,12.73,-69,Good
DWLR_Station_1001,Maharashtra,23.535398,77.650419,2024-01-05 12:00:00,24.32,24.9,12.0,-76,Good
DWLR_Station_1001,Maharashtra,15.864215,74.573291,2024-01-05 18:00:00,24.259,28.5,13.61,-58,Poor
DWLR_Station_1001,Maharashtra,28.618582,87.484964,2024-01-06 00:00:00,24.307,34.9,11.93,-46,Poor
DWLR_Station_1001,Maharashtra,27.754084,75.0183,2024-01-06 06:00:00,24.369,17.3,12.14,-71,Good
DWLR_Station_1001,Maharashtra,26.769615,76.52183,2024-01-06 12:00:00,24.315,19.5,12.75,-54,Poor
DWLR_Station_1001,Maharashtra,24.124845,69.626976,2024-01-06 18:00:00,24.265,16.7,14.17,-80,Good
DWLR_Station_1001,Maharashtra,28.153874,79.837775,2024-01-07 00:00:00,24.309,22.0,13.5,-62,Poor
DWLR_Station_1001,Maharashtra,25.542938,79.168085,2024-01-07 06:00:00,24.375,23.5,13.98,-42,Poor
DWLR_Station_1001,Maharashtra,18.104042,79.429461,2024-01-07 12:00:00,24.284,29.8,13.64,-42,Poor
DWLR_Station_1001,Maharashtra,24.920898,79.667375,2024-01-07 18:00:00,24.257,34.2,12.7,-56,Poor
DWLR_Station_1001,Maharashtra,29.264451,68.243089,2024-01-08 00:00:00,24.31,34.4,11.9,-60,Fair
DWLR_Station_1001,Maharashtra,10.868016,86.492867,2024-01-08 06:00:00,24.376,33.4,12.41,-62,Good
DWLR_Station_1001,Maharashtra,22.587973,81.914974,2024-01-08 12:00:00,24.318,24.1,13.31,-78,Fair
DWLR_Station_1001,Maharashtra,28.02316,68.908928,2024-01-08 18:00:00,24.277,20.6,14.08,-73,Poor
DWLR_Station_1001,Maharashtra,16.713201,71.393598,2024-01-09 00:00:00,24.301,27.9,12.73,-53,Fair
DWLR_Station_1001,Maharashtra,11.554693,87.487896,2024-01-09 06:00:00,24.364,34.7,13.48,-64,Good
DWLR_Station_1001,Maharashtra,22.055638,73.419153,2024-01-09 12:00:00,24.306,17.7,11.98,-75,Good
DWLR_Station_1001,Maharashtra,28.995998,82.51439,2024-01-09 18:00:00,24.237,27.3,12.8,-51,Poor
DWLR_Station_1001,Maharashtra,26.211067,87.745523,2024-01-10 00:00:00,24.319,18.0,13.23,-56,Fair
DWLR_Station_1001,Maharashtra,29.398288,84.842378,2024-01-10 06:00:00,24.365,31.8,12.92,-46,Fair
DWLR_Station_1001,Maharashtra,20.686926,82.998215,2024-01-10 12:00:00,24.325,33.3,13.2,-44,Fair
DWLR_Station_1001,Maharashtra,25.141624,75.557011,2024-01-10 18:00:00,24.261,19.8,12.29,-80,Good
DWLR_Station_1001,Maharashtra,14.572856,81.434014,2024-01-11 00:00:00,24.325,27.4,12.66,-73,Good
DWLR_Station_1001,Maharashtra,10.443695,77.963304,2024-01-11 06:00:00,24.382,24.5,13.8,-69,Fair
DWLR_Station_1001,Maharashtra,18.410716,83.693365,2024-01-11 12:00:00,24.311,27.8,13.73,-42,Good
DWLR_Station_1001,Maharashtra,12.72743,68.290893,2024-01-11 18:00:00,24.323,22.0,13.22,-51,Good
DWLR_Station_1001,Maharashtra,24.527941,78.948926,2024-01-12 00:00:00,24.306,24.0,13.99,-51,Fair
DWLR_Station_1001,Maharashtra,22.441734,85.247274,2024-01-12 06:00:00,24.376,34.0,12.15,-64,Good
DWLR_Station_1001,Maharashtra,19.182715,87.600652,2024-01-12 12:00:00,24.29,24.9,12.59,-70,Fair
DWLR_Station_1001,Maharashtra,11.517267,70.577594,2024-01-12 18:00:00,24.273,17.6,12.16,-65,Fair
DWLR_Station_1001,Maharashtra,16.913346,85.935768,2024-01-13 00:00:00,24.304,24.5,13.4,-62,Poor
DWLR_Station_1001,Maharashtra,26.435813,74.901653,2024-01-13 06:00:00,24.385,22.0,11.88,-75,Fair
DWLR_Station_1001,Maharashtra,14.126674,75.285397,2024-01-13 12:00:00,24.323,25.1,13.46,-72,Good
DWLR_Station_1001,Maharashtra,11.845812,77.622908,2024-01-13 18:00:00,24.255,28.8,13.03,-64,Poor
DWLR_Station_1001,Maharashtra,24.965194,71.69042,2024-01-14 00:00:00,24.344,19.2,12.69,-59,Fair
DWLR_Station_1001,Maharashtra,14.722331,83.199108,2024-01-14 06:00:00,24.365,25.6,13.53,-55,Poor
DWLR_Station_1001,Maharashtra,20.233549,78.64227,2024-01-14 12:00:00,24.339,17.1,12.87,-46,Good
DWLR_Station_1001,Maharashtra,17.943277,70.097383,2024-01-14 18:00:00,24.283,29.7,12.24,-42,Fair
DWLR_Station_1001,Maharashtra,16.549947,70.395243,2024-01-15 00:00:00,24.308,32.8,13.22,-77,Good
DWLR_Station_1001,Maharashtra,17.102086,80.976457,2024-01-15 06:00:00,24.366,24.6,13.2,-59,Poor
DWLR_Station_1001,Maharashtra,18.633191,70.551606,2024-01-15 12:00:00,24.359,20.7,12.67,-55,Fair
DWLR_Station_1001,Maharashtra,22.151104,72.887063,2024-01-15 18:00:00,24.29,25.0,12.59,-48,Poor
DWLR_Station_1001,Maharashtra,27.01635,69.757752,2024-01-16 00:00:00,24.326,31.1,11.93,-72,Poor
DWLR_Station_1001,Maharashtra,11.604675,78.490228,2024-01-16 06:00:00,24.335,23.2,14.16,-50,Fair
DWLR_Station_1001,Maharashtra,28.347912,68.106,2024-01-16 12:00:00,24.334,34.5,12.98,-43,Poor
DWLR_Station_1001,Maharashtra,23.372864,86.58752,2024-01-16 18:00:00,24.299,26.1,13.17,-76,Good
DWLR_Station_1001,Maharashtra,18.508729,78.152208,2024-01-17 00:00:00,24.321,19.8,12.08,-55,Poor
DWLR_Station_1001,Maharashtra,25.35559,69.745804,2024-01-17 06:00:00,24.362,25.1,14.04,-68,Good
DWLR_Station_1001,Maharashtra,16.732086,70.688294,2024-01-17 12:00:00,24.319,16.3,14.18,-68,Good
DWLR_Station_1001,Maharashtra,23.691431,69.757362,2024-01-17 18:00:00,24.283,17.8,11.81,-72,Poor
DWLR_Station_1001,Maharashtra,18.236818,74.977365,2024-01-18 00:00:00,24.319,33.6,13.79,-67,Good
DWLR_Station_1001,Maharashtra,28.658761,87.81859,2024-01-18 06:00:00,24.433,19.1,12.71,-80,Fair
DWLR_Station_1001,Maharashtra,26.836576,70.795448,2024-01-18 12:00:00,24.344,30.9,12.28,-51,Good
DWLR_Station_1001,Maharashtra,26.502654,71.7281,2024-01-18 18:00:00,24.315,19.7,13.32,-77,Good
DWLR_Station_1001,Maharashtra,23.659641,77.038972,2024-01-19 00:00:00,24.352,29.3,13.96,-43,Good
DWLR_Station_1001,Maharashtra,20.795621,76.774894,2024-01-19 06:00:00,24.351,26.5,12.65,-79,Fair
DWLR_Station_1001,Maharashtra,22.48476,70.337961,2024-01-19 12:00:00,24.353,33.8,13.31,-73,Fair
DWLR_Station_1001,Maharashtra,23.874352,71.334615,2024-01-19 18:00:00,24.287,32.6,12.99,-51,Fair
DWLR_Station_1001,Maharashtra,13.033498,74.234441,2024-01-20 00:00:00,24.341,20.0,13.59,-77,Poor
DWLR_Station_1001,Maharashtra,21.397794,83.249174,2024-01-20 06:00:00,24.392,32.5,12.62,-43,Fair
DWLR_Station_1001,Maharashtra,19.140004,80.079157,2024-01-20 12:00:00,24.292,25.0,13.1,-52,Good
DWLR_Station_1001,Maharashtra,14.585028,82.445051,2024-01-20 18:00:00,24.301,29.4,13.34,-45,Fair
DWLR_Station_1001,Maharashtra,16.91392,71.631954,2024-01-21 00:00:00,24.306,33.2,13.2,-73,Fair
DWLR_Station_1001,Maharashtra,18.471937,73.758592,2024-01-21 06:00:00,24.394,27.3,13.99,-41,Good
DWLR_Station_1001,Maharashtra,10.362204,85.442478,2024-01-21 12:00:00,24.388,33.6,13.16,-77,Poor
